total_task	shipper_binned	shipper_id	distance_sum	distance_mean	distance_std	price_sum	price_mean	price_std	pricekm_sum	pricekm_mean	pricekm_std	size_1	size_2	size_3	size_4	size_5	company_down	company_midlow	company_mid	company_midup	company_top
128	(52, 365]	2095	974.8616099999998	7.6161063281249985	3.402498242555071	347243.35000000003	2712.8386718750003	711.8762087061517	55173.15509361021	431.04027416882974	259.8912171142975	0.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0
2642	(1000, 5000]	3330	28473.07040855573	10.777089480906787	6.189535968576594	7055091.149999989	2670.36001135503	662.5318354888589	1130683.442997224	427.96496706935045	590.5395742729215	124.0	24.0	2491.0	0.0	3.0	0.0	5.0	31.0	39.0	2567.0
96	(52, 365]	3472	702.8450000000003	7.321302083333336	2.2392950306069266	242371.37999999998	2524.7018749999997	461.75939615279606	37211.69360527499	387.6218083882811	213.1067377386871	0.0	0.0	96.0	0.0	0.0	0.0	0.0	6.0	0.0	90.0
197	(52, 365]	3623	1906.8259999999996	9.679319796954312	5.5952157564739045	562923.9399999998	2857.4819289340094	1144.208775957829	68934.24745693339	349.92003785245373	154.5970100054195	0.0	3.0	194.0	0.0	0.0	0.0	2.0	10.0	1.0	184.0
11	(0, 12]	3706	97.286	8.844181818181818	5.079262364126937	35094.5	3190.409090909091	952.3442344599408	5060.784538367439	460.0713216697672	221.36657639254418	0.0	0.0	11.0	0.0	0.0	0.0	0.0	1.0	0.0	10.0
71	(52, 365]	4276	594.13	8.368028169014085	2.7871433146392066	197537.0	2782.211267605634	758.168896854086	28132.311901360466	396.229745089584	300.4622902836518	0.0	1.0	70.0	0.0	0.0	0.0	0.0	3.0	0.0	68.0
859	(365, 1000]	4472	8352.887200000003	9.72396647264261	5.39075754527613	1756411.9500000002	2044.7170547147848	1036.2098091736993	430107.03482627583	500.70667616562963	909.5712145896618	18.0	167.0	670.0	3.0	1.0	0.0	0.0	4.0	1.0	854.0
1	(0, 12]	5786	3.6010000000000004	3.6010000000000004		4500.0	4500.0		1249.6528742016105	1249.6528742016105		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
1	(0, 12]	5879	10.198	10.198		6599.0	6599.0		647.0876642478918	647.0876642478918		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
1	(0, 12]	5949	2.045	2.045		3500.0	3500.0		1711.4914425427876	1711.4914425427876		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
